97c06f8b39|भौतिक विज्ञानले कुनै|भौतिक विज्ञानले कुनै
48e8538fbd|मन्दिर लिच्छवि कला|मन्दिर लिच्छवि कला
06c5b9782c|निम्ति दान गरे|निम्ति दान गरे
d3b90b0f6e|उमेरमा नुवाकोटको|उमेरमा नुवाकोटको
313a47641a|गीतहरूको सिर्जना गर्ने|गीतहरूको सिर्जना गर्ने
f5a565b3f8|नौवहन मार्गदर्शक जेम्स|नौवहन मार्गदर्शक जेम्स
5a05831350|साथ र संगत नभइदिएको|साथ र संगत नभइदिएको
ffb90e4e8d|सबै भाषा|सबै भाषा
2e711697d8|आफ्ना नेपालको पूर्वी|आफ्ना नेपालको पूर्वी
a621b0648f|इस्वीमा गरेका थिए|इस्वीमा गरेका थिए
dcb60f8f52|तनहुँ जिल्लाको दमौलीबाट|तनहुँ जिल्लाको दमौलीबाट
91ac06eeb1|कुनै भागमा कुनै|कुनै भागमा कुनै
78712fc035|यसबाट केही वा सबै|यसबाट केही वा सबै
3324ea49cd|देवराज इन्द्र पनौतीमा|देवराज इन्द्र पनौतीमा
bca4da8644|जन्म 3 अप्रिल 1975|जन्म 3 अप्रिल 1975
fd7637bbad|आफ्नै पाराले मनाउने|आफ्नै पाराले मनाउने
cd2be7afe0|संयोजक तथा माओवादी|संयोजक तथा माओवादी
572147cc8a|जीरा एक प्रकारको|जीरा एक प्रकारको
95c864c96c|सोमनाथ घिमिरे व्यासलाई|सोमनाथ घिमिरे व्यासलाई
e771888389|बौद्ध धर्मले पुराना|बौद्ध धर्मले पुराना
b006425cda|त्यस जातकले आफ्नो|त्यस जातकले आफ्नो
5d484c1d8c|काडाँ बझाङ जिल्लाको|काडाँ बझाङ जिल्लाको
b9bd2c08de|पाइँदो रहेछ|पाइँदो रहेछ
b8c4565975|पुराना किल्लालाई पाण्डवहरूको|पुराना किल्लालाई पाण्डवहरूको
5b90e22e98|आफ्नो अङ्क गणनाका|आफ्नो अङ्क गणनाका
5112e76c2e|तर उनले मेरो पढाइ छुट्यो भनेर विश्वास गरिनन्।|तर उनले मेरो पढाइ छुट्यो भनेर विश्वास गरिनन्।
29a39a8638|ग्लुकोज प्लाज्मा रक्त|ग्लुकोज प्लाज्मा रक्त
09722bb6f0|ल्याए जस्तो लाग्यो|ल्याए जस्तो लाग्यो
0ac1d7cf91|रहेको छ चेर|रहेको छ चेर
672e386934|हुने भएकाले यहाँ|हुने भएकाले यहाँ
68b4feab37|शिलालेखमा दुल्लुको ऐतिहासिक|शिलालेखमा दुल्लुको ऐतिहासिक
bc3e9dd6f9|किन्दैनथे मालका लागि|किन्दैनथे मालका लागि
b928809693|नितम्ब सम्मको भाग हो|नितम्ब सम्मको भाग हो
ba1defcb71|भए एक दिन|भए एक दिन
aba398f7ce|नेपालको राष्ट्रिय झण्डामा त्यहि मान्यता कायम भएको हो।|नेपालको राष्ट्रिय झण्डामा त्यहि मान्यता कायम भएको हो।
60677ee67f|पृष्ठको सम्पादन इतिहासमा|पृष्ठको सम्पादन इतिहासमा
88158eb263|जसमध्ये सगरमाथा मि|जसमध्ये सगरमाथा मि
f34a520ee4|बैशाख 29 गतेदेखि|बैशाख 29 गतेदेखि
442fcbf604|यस संस्थाको|यस संस्थाको
682cd6e906|साइडबारमा जोड दिनुहोस्|साइडबारमा जोड दिनुहोस्
7d66420b3f|भएको छैन|भएको छैन
dd19c60978|मध्येको एउटा सहर|मध्येको एउटा सहर
f152cf006e|वटा 12 पाउन्डका|वटा 12 पाउन्डका
116729300d|पक्षमा नै ध्यान|पक्षमा नै ध्यान
844cc73a66|नेपालको राष्ट्रिय|नेपालको राष्ट्रिय
